id,short_code,uuid,product,colorway,size,is_pre_produced,rfid
10853,cVWcnqPp,02c46df7-9851-4524-b99c-66495a4cfa0b,72,,M,0,
6956,NmPmMwKG,02d152a0-dc02-456f-8cc7-73c3afa80fbd,66,,XL,0,
11810,f1zGxPxK,02de9a2e-ab66-4f14-9f9c-731b3bcf6e7f,72,,M,0,
10666,Dpwvj2UB,03097eeb-b7df-4e37-abf7-5c80517e6e92,72,,M,0,
12213,zMthrdMo,030ea73e-30ce-47c4-8e4d-961f0d37a86c,72,,M,0,
4597,7rsef2Jz,031a4c7c-11a5-4d76-8f4c-ca653c0d3a19,38,,L,0,
13591,BzuauztM,031a7ecb-ab34-460a-94ee-cabc9d73d3d6,103,,38,0,
12317,b3yFdBZk,031cc348-611a-4811-a175-b949e2ad87e4,72,,M,0,
3472,HvmaB5mb,031e2664-cd9c-4d50-a4c7-6d6473a9e2cb,38,,S,0,
13000,asVCbc69,0334f2e6-9b7f-4626-94e2-9dcd03620701,78,,XXS-XL,0,
2281,WuT0EVzf,033a5164-4428-40e8-8fc1-48972be015ac,4,,M,0,
12001,MBk1wqFq,034af011-05fb-4eb2-93e0-abea4ec9a5fd,72,,M,0,
12729,MaCKyigk,034c3804-5a77-4877-832c-e3954127b234,72,,M,0,
3946,STokUHfE,0358bd7a-32ee-4049-82eb-59d1135045d4,38,,M,0,
12654,pkXSSpmj,03615375-7a13-429c-8c9a-699048368011,72,,M,0,
9711,D3rpJipr,036db332-5ffa-4772-8dbb-6dce5f054b98,72,,M,0,
1681,7QGbAbw8,037172bc-6b04-426d-8be7-b7a4a8d8586f,4,,M,0,
10584,P3dTa8FT,03742a63-875b-4b89-b349-2507a49c08f6,72,,M,0,
3639,4yMojHiM,037a89b4-4aeb-453e-9364-f69b5e2d637b,38,,S,0,
10693,uZ4zdB5n,037c6018-8a5e-4f34-9dc7-7a37ca0319fe,72,,M,0,
11273,MjdWygFZ,039303f7-2bb8-41fb-a397-9f3e42d9b609,72,,M,0,
4371,NzrH38w4,0397904a-6d75-4b14-b318-711309e37d0a,38,,L,0,
2460,CBcbkk42,03b093d8-963c-4963-a44d-1f611f24355e,8,,s,0,
4642,zGsZmgUt,03b8e42c-8ef8-42d5-9b0c-a051291776f6,38,,L,0,
4684,adpgVtEM,03c52d91-bb35-411b-88f2-d71e7087effe,38,,L,0,
202,,03db88b9-642d-4c76-bc5e-cc65ff56d44b,4,,M,0,
2320,2nbsuVzM,03dbd98b-918d-41ee-9f4e-37fcc64103fa,4,,M,0,
10130,K8eqkHsz,03de4e74-9e49-4296-ae42-3a4b0e340415,72,,M,0,
9861,zkbNoBvu,03e30616-54b7-4846-9b67-cf03e58f5b12,72,,M,0,
2501,MvE2wY0D,03e9f117-2aa7-4a55-80d9-5dc8355321ac,8,,s,0,
3985,qBLNrLCG,03ea36a2-87b9-4984-8095-a70ee89473a9,38,,M,0,
4149,ZfeTd3YT,03f7178b-71d8-481d-a37a-a0a7f9c6c9b3,38,,M,0,
1202,,040967f8-9a42-473b-b996-8e8fa481e839,4,,M,0,
9949,Bqtqq5fd,041d6d2b-1ecf-4f0c-983c-8fe54b8494d0,72,,M,0,
4909,iwU5TfP6,041f3390-892b-48c1-bfab-ee214881b129,22,,L,0,
13557,oXH6eZw9,042fed4f-76ed-487f-80b7-9333907fea64,103,,38,0,
10295,GS7teVbc,0430b713-a462-4c65-a5ea-65d28908453f,72,,M,0,
3862,PUCfbLq6,043daa6b-2c5a-4d8f-b8e5-5c31932ea0cc,38,,M,0,
11941,XDMUE1Qe,04488325-c7f4-4899-99bd-01aa69edabe8,72,,M,0,
6972,4oJU18jk,044eea15-3bab-4d99-818a-71eda98c046a,66,,XL,0,
11422,jdvhQfCe,045064d5-70a5-4c50-9984-d2e3722d8c10,72,,M,0,
12695,7qzpEGwy,04512d01-a3e9-4346-b2c9-4f0096d560ff,72,,M,0,
5833,t2Ljps9i,0452474d-574d-4bcb-8733-ca363da7f932,66,,L,0,
6824,TCDLUS2U,045b278c-0f4f-4fa2-b167-cf7034fa29e3,66,,XL,0,
13004,JK2Foohp,045b799d-9c97-419d-9501-73a6fe8877ef,78,,XXS-XL,0,
12074,xzhjQpUk,0464a297-6ea1-449c-8760-4814a7cafad9,72,,M,0,
5720,6cJaBD8Z,04683361-87fe-47f0-9df5-953dde6a4bd2,66,,M,0,
599,,0472557e-9a6b-4b2e-b6c9-3a2fc8f3f53b,4,,M,0,
1685,fn7zHdWk,047c12ca-1f5c-43f0-8993-6003456d90b2,4,,M,0,
5545,25c4JXB1,04879f49-b328-4b97-b86a-a7b3c2229f7b,66,,S,0,
4816,xHMzehua,04949051-06d7-49d8-845d-c27aff321434,22,,M,0,
