serial_no;sku_serial_no;sku;label;qr_code
7524;1434;men-t-shirt-sku4;circularity.id/myWUQ8Kt;https://circularity.id/gHh3qjRj
7525;1435;men-t-shirt-sku4;circularity.id/WNxD2nXC;https://circularity.id/brfoppfy
7526;1436;men-t-shirt-sku4;circularity.id/34bvP9Jq;https://circularity.id/YX342XSY
7527;1437;men-t-shirt-sku4;circularity.id/hbaEBGc6;https://circularity.id/xRKdpq9a
7528;1438;men-t-shirt-sku4;circularity.id/54DZMijq;https://circularity.id/taLgPxeR
7529;1439;men-t-shirt-sku4;circularity.id/3Vh3UAkK;https://circularity.id/WHSRLEBV
7530;1440;men-t-shirt-sku4;circularity.id/x8o6Nf4L;https://circularity.id/foDkN6N9
7531;1441;men-t-shirt-sku4;circularity.id/G1nt5Mun;https://circularity.id/FGBfzd9c
7532;1442;men-t-shirt-sku4;circularity.id/9aA1jaRe;https://circularity.id/hpF1gxGJ
7533;1443;men-t-shirt-sku4;circularity.id/ctHBki1H;https://circularity.id/qLqxkj7j
7534;1444;men-t-shirt-sku4;circularity.id/NpzbgxQ3;https://circularity.id/WirN5vXr
7535;1445;men-t-shirt-sku4;circularity.id/FrVBiM65;https://circularity.id/KJt2S7fm
7536;1446;men-t-shirt-sku4;circularity.id/1EQCXbR4;https://circularity.id/kshLVFXc
7537;1447;men-t-shirt-sku4;circularity.id/L837CNxs;https://circularity.id/Vdu6BGFh
7538;1448;men-t-shirt-sku4;circularity.id/TjUULTPu;https://circularity.id/bU5h7TZr
7539;1449;men-t-shirt-sku4;circularity.id/rgGBVqJj;https://circularity.id/i285D13p
7540;1450;men-t-shirt-sku4;circularity.id/SVsbD3Vn;https://circularity.id/BUkRxu1d
7541;1451;men-t-shirt-sku4;circularity.id/XFx39W52;https://circularity.id/k13eM6Qx
7542;1452;men-t-shirt-sku4;circularity.id/MTNGnTKb;https://circularity.id/yxGmqjDj
7543;1453;men-t-shirt-sku4;circularity.id/ZvBn2kjq;https://circularity.id/LXs3voDR
7544;1454;men-t-shirt-sku4;circularity.id/KsDhncuK;https://circularity.id/oJFb4X4x
7545;1455;men-t-shirt-sku4;circularity.id/PLgshhrM;https://circularity.id/L3oZafy8
7546;1456;men-t-shirt-sku4;circularity.id/AqZVfLZS;https://circularity.id/WAHzuud9
7547;1457;men-t-shirt-sku4;circularity.id/VrFJvcZd;https://circularity.id/JDF8Uz77
7548;1458;men-t-shirt-sku4;circularity.id/hb2XPUaj;https://circularity.id/5NNRdv3G
7549;1459;men-t-shirt-sku4;circularity.id/wEvhMckn;https://circularity.id/ZYDiHpvN
7550;1460;men-t-shirt-sku4;circularity.id/DLiqRCsU;https://circularity.id/DazA31bH
7551;1461;men-t-shirt-sku4;circularity.id/SU65Zfj8;https://circularity.id/RXi9FJAB
7552;1462;men-t-shirt-sku4;circularity.id/RcHrMc1b;https://circularity.id/qGrDf5pH
7553;1463;men-t-shirt-sku4;circularity.id/jZV9AHex;https://circularity.id/fbJ9m1QM
7554;1464;men-t-shirt-sku4;circularity.id/mbFRvHP5;https://circularity.id/przY9kZZ
7555;1465;men-t-shirt-sku4;circularity.id/qtyiMzqW;https://circularity.id/eVrwAV3T
7556;1466;men-t-shirt-sku4;circularity.id/nBXAUTKX;https://circularity.id/VWUgdV6W
7557;1467;men-t-shirt-sku4;circularity.id/oZCRUYXY;https://circularity.id/xWKrMoHS
7558;1468;men-t-shirt-sku4;circularity.id/fTWHKNhn;https://circularity.id/qss5CE6U
7559;1469;men-t-shirt-sku4;circularity.id/CPHofgcc;https://circularity.id/72RqrKVF
7560;1470;men-t-shirt-sku4;circularity.id/tBfVkfim;https://circularity.id/GTDRTjYz
7561;1471;men-t-shirt-sku4;circularity.id/4FuWwT5U;https://circularity.id/zBoeEKT7
7562;1472;men-t-shirt-sku4;circularity.id/dfEzKcxv;https://circularity.id/VYAMVddg
7563;1473;men-t-shirt-sku4;circularity.id/C2m2JmGX;https://circularity.id/7ck7yySp
7564;1474;men-t-shirt-sku4;circularity.id/rcqDtUCi;https://circularity.id/BtgsbQSS
7565;1475;men-t-shirt-sku4;circularity.id/WMP7Qg8K;https://circularity.id/NRdpwH1v
7566;1476;men-t-shirt-sku4;circularity.id/1U1rh67Y;https://circularity.id/9AHjWxKc
7567;1477;men-t-shirt-sku4;circularity.id/83R9FVSA;https://circularity.id/NRaGMmmx
7568;1478;men-t-shirt-sku4;circularity.id/q2oDXeAF;https://circularity.id/a73KoBy8
7569;1479;men-t-shirt-sku4;circularity.id/NqKhNepX;https://circularity.id/UR47xhKw
7570;1480;men-t-shirt-sku4;circularity.id/BCTRQESE;https://circularity.id/YomMgKBg
7571;1481;men-t-shirt-sku4;circularity.id/MQKRCQJ7;https://circularity.id/UDa2PFX4
7572;1482;men-t-shirt-sku4;circularity.id/zqKfuMCS;https://circularity.id/GpMMMtL3
7573;1483;men-t-shirt-sku4;circularity.id/iHPLJBDg;https://circularity.id/d1P1k93N
7574;1484;men-t-shirt-sku4;circularity.id/Vygr52JV;https://circularity.id/e7ER4FiT
7575;1485;men-t-shirt-sku4;circularity.id/7DTscNvf;https://circularity.id/UcxFqFKg
7576;1486;men-t-shirt-sku4;circularity.id/JDjC94F3;https://circularity.id/qtbJaMSj
7577;1487;men-t-shirt-sku4;circularity.id/s4pNKPuU;https://circularity.id/y5L4WwTw
7578;1488;men-t-shirt-sku4;circularity.id/29MLJUZN;https://circularity.id/ik3uY9Lj
7579;1489;men-t-shirt-sku4;circularity.id/darzKPv3;https://circularity.id/BA1avCCH
7580;1490;men-t-shirt-sku4;circularity.id/XYXJtgQZ;https://circularity.id/GCWdc1NN
7581;1491;men-t-shirt-sku4;circularity.id/CZQgUub2;https://circularity.id/MJcUn7nt
7582;1492;men-t-shirt-sku4;circularity.id/39JXhegN;https://circularity.id/ZuqTXTAE
7583;1493;men-t-shirt-sku4;circularity.id/6fcteWs9;https://circularity.id/5iM3Xrdk
7584;1494;men-t-shirt-sku4;circularity.id/NdJPXvzS;https://circularity.id/L2p5HBnV
7585;1495;men-t-shirt-sku4;circularity.id/YmDjnGTV;https://circularity.id/DgAYQzSa
7586;1496;men-t-shirt-sku4;circularity.id/7aSit5s9;https://circularity.id/hFZF1KJJ
7587;1497;men-t-shirt-sku4;circularity.id/HDQEo5bG;https://circularity.id/azJ1z8ek
7588;1498;men-t-shirt-sku4;circularity.id/Bidd5SVj;https://circularity.id/aiGo7ynL
7589;1499;men-t-shirt-sku4;circularity.id/NrZ8HJDi;https://circularity.id/UYSJdFxP
7590;1500;men-t-shirt-sku4;circularity.id/ayZu91ra;https://circularity.id/qrKxdf3Q
7591;1501;men-t-shirt-sku4;circularity.id/YemWxkdC;https://circularity.id/3N2aNGAH
7592;1502;men-t-shirt-sku4;circularity.id/ppNuiRVC;https://circularity.id/kweXSaF9
7593;1503;men-t-shirt-sku4;circularity.id/PybTAb8L;https://circularity.id/8hUhXFrU
7594;1504;men-t-shirt-sku4;circularity.id/hC8vwsdP;https://circularity.id/wDsaYF42
7595;1505;men-t-shirt-sku4;circularity.id/ZqUpz86H;https://circularity.id/c9kEHLeM
7596;1506;men-t-shirt-sku4;circularity.id/C6NAWkU4;https://circularity.id/9sUGEYhG
7597;1507;men-t-shirt-sku4;circularity.id/MwsXPZsx;https://circularity.id/8NFMd3Gv
7598;1508;men-t-shirt-sku4;circularity.id/6siCJ7Sv;https://circularity.id/gLH28a1Y
7599;1509;men-t-shirt-sku4;circularity.id/DVrVhd8x;https://circularity.id/LHDb3YC7
7600;1510;men-t-shirt-sku4;circularity.id/wtqn72Fv;https://circularity.id/kgJHCotf
7601;1511;men-t-shirt-sku4;circularity.id/CxYupcw7;https://circularity.id/WtrxVHHn
7602;1512;men-t-shirt-sku4;circularity.id/wHdW7rMA;https://circularity.id/xG53gRdd
7603;1513;men-t-shirt-sku4;circularity.id/ZbspDqAW;https://circularity.id/JvM3ffJj
7604;1514;men-t-shirt-sku4;circularity.id/CQ9CPxyS;https://circularity.id/FoVRSigg
7605;1515;men-t-shirt-sku4;circularity.id/uz8dbiY7;https://circularity.id/oy8kd3Mq
7606;1516;men-t-shirt-sku4;circularity.id/WQ1H1cjX;https://circularity.id/S1NMkCYo
7607;1517;men-t-shirt-sku4;circularity.id/GTtWMkFJ;https://circularity.id/zem6v5UF
7608;1518;men-t-shirt-sku4;circularity.id/aB2ywNRD;https://circularity.id/3frFsMDj
7609;1519;men-t-shirt-sku4;circularity.id/rDfnXnCv;https://circularity.id/3aUh3jx8
7610;1520;men-t-shirt-sku4;circularity.id/FPdVbk92;https://circularity.id/4s7tSgHz
7611;1521;men-t-shirt-sku4;circularity.id/6kDaPB4u;https://circularity.id/kE35HNsk
7612;1522;men-t-shirt-sku4;circularity.id/Cm54GrBm;https://circularity.id/iJbecfym
7613;1523;men-t-shirt-sku4;circularity.id/JvL7sDxZ;https://circularity.id/4rJ98wvQ
7614;1524;men-t-shirt-sku4;circularity.id/eq7qNaF3;https://circularity.id/sLStYis7
7615;1525;men-t-shirt-sku4;circularity.id/Q33vKfsx;https://circularity.id/dUEwWb7o
7616;1526;men-t-shirt-sku4;circularity.id/HjHM4oeG;https://circularity.id/iwUtdKni
7617;1527;men-t-shirt-sku4;circularity.id/r3ADs6Ja;https://circularity.id/w5DWvGDM
7618;1528;men-t-shirt-sku4;circularity.id/ssiGc6ZP;https://circularity.id/9r62g3C8
7619;1529;men-t-shirt-sku4;circularity.id/tineiabe;https://circularity.id/N1UcEaAi
7620;1530;men-t-shirt-sku4;circularity.id/SZWS2KdA;https://circularity.id/huXMxP7H
7621;1531;men-t-shirt-sku4;circularity.id/DWg6yxV9;https://circularity.id/iQiCCcLH
7622;1532;men-t-shirt-sku4;circularity.id/8mw1ox6v;https://circularity.id/GC9FGk47
7623;1533;men-t-shirt-sku4;circularity.id/JyeqM2He;https://circularity.id/8RgKwgRg
7624;1534;men-t-shirt-sku4;circularity.id/RsPHUpkv;https://circularity.id/etstbb56
