serial_no;sku_serial_no;sku;label;qr_code
3171;546;women-top-sku2;circularity.id/N1eqyNxT;https://circularity.id/j7oNvDFK
3172;547;women-top-sku2;circularity.id/D4XCvEG6;https://circularity.id/a16EcU6A
3173;548;women-top-sku2;circularity.id/MMA4oU3F;https://circularity.id/1P7AVS2P
3174;549;women-top-sku2;circularity.id/tsTAkUwh;https://circularity.id/bwLhpjy9
3175;550;women-top-sku2;circularity.id/VD53baYG;https://circularity.id/r15wS4A8
3176;551;women-top-sku2;circularity.id/tEo4CYT2;https://circularity.id/6ubCUdJq
3177;552;women-top-sku2;circularity.id/7fnvDxkY;https://circularity.id/YQFyreUp
3178;553;women-top-sku2;circularity.id/PV5aAysF;https://circularity.id/mMqgRLZi
3179;554;women-top-sku2;circularity.id/77yPZ8zZ;https://circularity.id/iUJo3EUA
3180;555;women-top-sku2;circularity.id/3o3s6Bsf;https://circularity.id/NnND29qs
3181;556;women-top-sku2;circularity.id/RrCwA5pr;https://circularity.id/Ns4WTr8u
3182;557;women-top-sku2;circularity.id/DEhWfvBB;https://circularity.id/hra4uHA8
3183;558;women-top-sku2;circularity.id/X1oqtUm8;https://circularity.id/By5788Uv
3184;559;women-top-sku2;circularity.id/Bb9ix7HV;https://circularity.id/FH1crpFu
3185;560;women-top-sku2;circularity.id/i6gvZw9y;https://circularity.id/hmwNcPw9
3186;561;women-top-sku2;circularity.id/GKMuge3Z;https://circularity.id/p7kQQNu4
3187;562;women-top-sku2;circularity.id/DeQpTuM9;https://circularity.id/GJwxDda6
3188;563;women-top-sku2;circularity.id/UHao6uHk;https://circularity.id/kpv9TtJ8
3189;564;women-top-sku2;circularity.id/sui43DD8;https://circularity.id/2pN49gR1
3190;565;women-top-sku2;circularity.id/jyFkVtGn;https://circularity.id/4uT2rrpu
3191;566;women-top-sku2;circularity.id/eVkyyDG5;https://circularity.id/99NSe9Qz
3192;567;women-top-sku2;circularity.id/jABTsK1d;https://circularity.id/UXRm3PMT
3193;568;women-top-sku2;circularity.id/Mvug6X1o;https://circularity.id/S5tUxLfD
3194;569;women-top-sku2;circularity.id/NbrNMPpP;https://circularity.id/Vx7MJeEn
3195;570;women-top-sku2;circularity.id/EMJ96ud3;https://circularity.id/rtSEWwjz
3196;571;women-top-sku2;circularity.id/qwJzQhY2;https://circularity.id/VFa9ccoM
3197;572;women-top-sku2;circularity.id/rf73JWqg;https://circularity.id/wMydS6nT
3198;573;women-top-sku2;circularity.id/soiFWSZY;https://circularity.id/7Kw9ESWE
3199;574;women-top-sku2;circularity.id/6Vbgrh61;https://circularity.id/CknRP6r2
3200;575;women-top-sku2;circularity.id/ABBjJhCa;https://circularity.id/jMtydck6
3201;576;women-top-sku2;circularity.id/9YfjVmoi;https://circularity.id/2ojCU77L
3202;577;women-top-sku2;circularity.id/JffXg5xi;https://circularity.id/zGqs7nS6
3203;578;women-top-sku2;circularity.id/qRtSaZAc;https://circularity.id/LdreCi4Z
3204;579;women-top-sku2;circularity.id/7WZf9JDX;https://circularity.id/QuU1VLga
3205;580;women-top-sku2;circularity.id/Wbc8NZLm;https://circularity.id/XKNkJWV4
3206;581;women-top-sku2;circularity.id/JmDppMeN;https://circularity.id/M3NRuh8e
3207;582;women-top-sku2;circularity.id/qFZwjZqC;https://circularity.id/5sQHP47Q
3208;583;women-top-sku2;circularity.id/jv263apm;https://circularity.id/h4otizLj
3209;584;women-top-sku2;circularity.id/6QQWTRgP;https://circularity.id/sZ8AWSFe
3210;585;women-top-sku2;circularity.id/y3412XVE;https://circularity.id/xbcTBKeS
3211;586;women-top-sku2;circularity.id/H18qo3HL;https://circularity.id/EwkkCJxD
3212;587;women-top-sku2;circularity.id/VMPWVSFN;https://circularity.id/uMiEjiLp
3213;588;women-top-sku2;circularity.id/4N176rQa;https://circularity.id/4KH6Gxus
3214;589;women-top-sku2;circularity.id/hfLnA33d;https://circularity.id/ZcQKwcxU
3215;590;women-top-sku2;circularity.id/NdSGGA55;https://circularity.id/S9AmDAdL
3216;591;women-top-sku2;circularity.id/wbfJfzD5;https://circularity.id/QAvA5P3c
3217;592;women-top-sku2;circularity.id/xxCPeZjC;https://circularity.id/8Doa7T1w
3218;593;women-top-sku2;circularity.id/isDWr81n;https://circularity.id/yxwkeXiw
3219;594;women-top-sku2;circularity.id/f3Eky4bV;https://circularity.id/2cUvtVri
3220;595;women-top-sku2;circularity.id/sx2ccioP;https://circularity.id/H9NGpW8G
3221;596;women-top-sku2;circularity.id/dK1N1wpv;https://circularity.id/Qhui6krB
3222;597;women-top-sku2;circularity.id/u1WaLacC;https://circularity.id/Hs6HLShy
3223;598;women-top-sku2;circularity.id/CQPVqetg;https://circularity.id/2SHNWy4K
3224;599;women-top-sku2;circularity.id/Fg5sM41N;https://circularity.id/JDofsNYk
3225;600;women-top-sku2;circularity.id/HHbwRtzz;https://circularity.id/PV3pqmLi
3226;601;women-top-sku2;circularity.id/tmXEhT53;https://circularity.id/D9mTHbSF
3227;602;women-top-sku2;circularity.id/D9uCskeR;https://circularity.id/t7XiJR7h
3228;603;women-top-sku2;circularity.id/xhypp6oD;https://circularity.id/17kdPvKr
3229;604;women-top-sku2;circularity.id/7dWtfSV5;https://circularity.id/VEvayhWF
3230;605;women-top-sku2;circularity.id/LCka67MX;https://circularity.id/TwS7y435
3231;606;women-top-sku2;circularity.id/gcqAT2nU;https://circularity.id/dnm9cryK
3232;607;women-top-sku2;circularity.id/K3UFKeqf;https://circularity.id/eLesJWZr
3233;608;women-top-sku2;circularity.id/fRiN2Thy;https://circularity.id/Q741F5e8
3234;609;women-top-sku2;circularity.id/egsAAsTb;https://circularity.id/5tAPkDZa
3235;610;women-top-sku2;circularity.id/x2ioiNpE;https://circularity.id/uezrGhZj
3236;611;women-top-sku2;circularity.id/uKzNoKep;https://circularity.id/fAvo2XFo
3237;612;women-top-sku2;circularity.id/f2mXVGKR;https://circularity.id/dxozyDMb
3238;613;women-top-sku2;circularity.id/y17svxte;https://circularity.id/wNZqABJg
3239;614;women-top-sku2;circularity.id/XV8qp2QL;https://circularity.id/wVoyp5sg
3240;615;women-top-sku2;circularity.id/StDwF8rf;https://circularity.id/kkZHC2Yu
3241;616;women-top-sku2;circularity.id/Z8sKcGi7;https://circularity.id/PXrz8Q6V
3242;617;women-top-sku2;circularity.id/iru1ha2w;https://circularity.id/BBapntxt
3243;618;women-top-sku2;circularity.id/BRrfGYYR;https://circularity.id/dsZDYJtZ
3244;619;women-top-sku2;circularity.id/b27rSjtP;https://circularity.id/55wv3PvR
3245;620;women-top-sku2;circularity.id/1BxNMnuS;https://circularity.id/UZKxAPzr
3246;621;women-top-sku2;circularity.id/zxaM9X7C;https://circularity.id/CwNm4vwU
3247;622;women-top-sku2;circularity.id/n8L9u3i6;https://circularity.id/zXLxJ8kH
3248;623;women-top-sku2;circularity.id/tN3TFTc7;https://circularity.id/tyYXuWJs
3249;624;women-top-sku2;circularity.id/r3ZhjP3S;https://circularity.id/Z3eQT8Cw
3250;625;women-top-sku2;circularity.id/FNEXmjuP;https://circularity.id/Pnrg1Deo
3251;626;women-top-sku2;circularity.id/zoWsVVGT;https://circularity.id/pMcqb7iA
3252;627;women-top-sku2;circularity.id/nSSbV9Q1;https://circularity.id/p9ZiV4Bu
3253;628;women-top-sku2;circularity.id/34S1L7AQ;https://circularity.id/boaoqCdw
3254;629;women-top-sku2;circularity.id/vdRBFW7s;https://circularity.id/V88DuNYP
3255;630;women-top-sku2;circularity.id/Zx83okYT;https://circularity.id/vs5fEenH
3256;631;women-top-sku2;circularity.id/dSfjSoXF;https://circularity.id/bDy7X9YQ
3257;632;women-top-sku2;circularity.id/8WXFf9xf;https://circularity.id/1XtKUkDt
3258;633;women-top-sku2;circularity.id/yfsrirFP;https://circularity.id/wba34t6d
3259;634;women-top-sku2;circularity.id/S1AmQKpY;https://circularity.id/dYGF3ur6
3260;635;women-top-sku2;circularity.id/WTRgQT5w;https://circularity.id/rvuLVwFU
3261;636;women-top-sku2;circularity.id/skN6Hg1U;https://circularity.id/PuctTKXA
3262;637;women-top-sku2;circularity.id/zcvYFfkP;https://circularity.id/8wTbRnTh
3263;638;women-top-sku2;circularity.id/VtdPunZ5;https://circularity.id/i35Notyt
3264;639;women-top-sku2;circularity.id/H2RAexhP;https://circularity.id/YmVkVtwy
3265;640;women-top-sku2;circularity.id/zfqQ5YFz;https://circularity.id/QvGPhHVq
3266;641;women-top-sku2;circularity.id/ZW82mHnj;https://circularity.id/9hsNzDbU
3267;642;women-top-sku2;circularity.id/RTCUrYv6;https://circularity.id/APb2iPmC
3268;643;women-top-sku2;circularity.id/p1HznvVu;https://circularity.id/L6uN4zeB
3269;644;women-top-sku2;circularity.id/6sGLscjW;https://circularity.id/dR5gApvo
3270;645;women-top-sku2;circularity.id/gK6s2RZk;https://circularity.id/HGENNFhs
3271;646;women-top-sku2;circularity.id/GU9J7M38;https://circularity.id/AHz9icQ3
3272;647;women-top-sku2;circularity.id/L8nNSAJ9;https://circularity.id/3beLtpT6
3273;648;women-top-sku2;circularity.id/WL244qgQ;https://circularity.id/NpT3nx3w
3274;649;women-top-sku2;circularity.id/wD93SZ85;https://circularity.id/j3hJpW4N
3275;650;women-top-sku2;circularity.id/jbnNvuEG;https://circularity.id/X4kxy8Ck
3276;651;women-top-sku2;circularity.id/9SL4K7ty;https://circularity.id/Fui6igHK
3277;652;women-top-sku2;circularity.id/fW3mgy75;https://circularity.id/BSyrBjnT
3278;653;women-top-sku2;circularity.id/BzHAWKLr;https://circularity.id/XBtV6oSZ
3279;654;women-top-sku2;circularity.id/fbdKNmAA;https://circularity.id/TbZ8ifPZ
3280;655;women-top-sku2;circularity.id/7X4WHKEW;https://circularity.id/vYs4BnvB
3281;656;women-top-sku2;circularity.id/WgUFznc8;https://circularity.id/nfCgez6A
3282;657;women-top-sku2;circularity.id/7UfmJ8UA;https://circularity.id/fCXKXZmQ
3283;658;women-top-sku2;circularity.id/A7YNZcsF;https://circularity.id/RrMswQqM
3284;659;women-top-sku2;circularity.id/2FZncpu7;https://circularity.id/qjbGPjDd
3285;660;women-top-sku2;circularity.id/pZ355xHp;https://circularity.id/XDfR7rFF
3286;661;women-top-sku2;circularity.id/o2nNmffo;https://circularity.id/i9iBcehg
3287;662;women-top-sku2;circularity.id/FP2xVR9m;https://circularity.id/uv8kmF5N
3288;663;women-top-sku2;circularity.id/putvZQN1;https://circularity.id/ob8CnuHe
3289;664;women-top-sku2;circularity.id/6gb4zJuv;https://circularity.id/wRzWGmWJ
3290;665;women-top-sku2;circularity.id/4jQH8oCX;https://circularity.id/aXyfwf3F
3291;666;women-top-sku2;circularity.id/EyP5gXZ6;https://circularity.id/fjxM9iPP
3292;667;women-top-sku2;circularity.id/agqnNNKC;https://circularity.id/YW1N5r3C
3293;668;women-top-sku2;circularity.id/NWLtKZPd;https://circularity.id/utJqxHX5
3294;669;women-top-sku2;circularity.id/S1H4fUFY;https://circularity.id/2M5M8CRB
3295;670;women-top-sku2;circularity.id/K7CHNvPM;https://circularity.id/vZQiPH2j
3296;671;women-top-sku2;circularity.id/wiwuJb38;https://circularity.id/eEcKqFzs
3297;672;women-top-sku2;circularity.id/tCViEzBM;https://circularity.id/c5ZkrwwT
3298;673;women-top-sku2;circularity.id/qi4zMgBg;https://circularity.id/1xhz1WCs
3299;674;women-top-sku2;circularity.id/DxdM3fVh;https://circularity.id/wGg7Reoq
3300;675;women-top-sku2;circularity.id/EZGZGkWQ;https://circularity.id/jaiUm9bZ
3301;676;women-top-sku2;circularity.id/HSjNEkAa;https://circularity.id/RntzCQ5W
3302;677;women-top-sku2;circularity.id/f79jpt3a;https://circularity.id/PedkxR8A
3303;678;women-top-sku2;circularity.id/5GFDehww;https://circularity.id/HrovEwNK
3304;679;women-top-sku2;circularity.id/LVKLuyUj;https://circularity.id/L33aoW71
3305;680;women-top-sku2;circularity.id/Vym7tCqQ;https://circularity.id/ZaQfDraT
3306;681;women-top-sku2;circularity.id/dcsAKaD6;https://circularity.id/Skfv44aF
3307;682;women-top-sku2;circularity.id/aBLYB2tG;https://circularity.id/4jcWq2PV
3308;683;women-top-sku2;circularity.id/6nqYYwCW;https://circularity.id/qjh2AKxT
3309;684;women-top-sku2;circularity.id/QsQWfTJJ;https://circularity.id/EuvUGPAh
3310;685;women-top-sku2;circularity.id/ws3yPRyz;https://circularity.id/YchtkkBK
3311;686;women-top-sku2;circularity.id/pmVgTbyd;https://circularity.id/1qGhg1wA
3312;687;women-top-sku2;circularity.id/Li9PBPgU;https://circularity.id/Cof483aC
3313;688;women-top-sku2;circularity.id/rRSQuXU2;https://circularity.id/6aDUEMsh
3314;689;women-top-sku2;circularity.id/FKBHijjm;https://circularity.id/uaDvLJBd
3315;690;women-top-sku2;circularity.id/PcohmArz;https://circularity.id/gEmBPqfa
3316;691;women-top-sku2;circularity.id/KiYhMLkv;https://circularity.id/8nigAN75
3317;692;women-top-sku2;circularity.id/1gHszoC8;https://circularity.id/jV98WYbY
3318;693;women-top-sku2;circularity.id/ne1Esf16;https://circularity.id/Qb6iFheW
